INVOICE SCANNING EMEA;INVOICE PROCESSING EMEA;QUERY ANALYST EMEA;TEAM COORDINATOR EMEA;TEAM LEAD EMEA;INVOICE PROCESSING US LEGACY;QUERY ANALYST US LEGACY;TEAM COORDINATOR US LEGACY;TEAM LEAD US LEGACY;INVOICE PROCESSING CHILE;QUERY ANALYST CHILE;TEAM COORDINATOR CHILE;INVOICE PROCESSING US LITHIUM;QUERY ANALYST US LITHIUM;TEAM COORDINATOR US LITHIUM;TEAM LEAD US LITHIUM & CHILE;OPERATIONAL CONTROL ANALYST;PAYMENT;RTP MANAGER
Scan invoices received by post;Process invoice;Correction - VAT;Process invoice;End user support (Query);Process invoice;Correction - VAT;Process invoice;End user support (Query);Process invoice;Correction - VAT;Process invoice;Process invoice;Correction - VAT;Process invoice;End user support (Query);Team meeting;Team meeting;
Print and put barcodes on HU10 invoices;BCC Validation;Correction - Other system error;BCC Val+D14:D58idation;End user support (Invoice Processing);BCC Validation;Correction - Other system error;BCC Val+D14:D58idation;End user support (Invoice Processing);BCC Validation;Correction - Other system error;BCC Val+D14:D58idation;BCC Validation;Correction - Other system error;BCC Val+D14:D58idation;End user support (Invoice Processing);1o1;1o1;
Prepare the binders for archiving (Iron Mountain);Process Down Payment requests;Correction - Due to autoposting;Process Down Payment requests;Answering e-mails (suppliers);Process Down Payment requests;Correction - Due to autoposting;Process Down Payment requests;Answering e-mails (suppliers);Process Down Payment requests;Correction - Due to autoposting;Process Down Payment requests;Process Down Payment requests;Correction - Due to autoposting;Process Down Payment requests;Answering e-mails (suppliers);Training - Mandatory;Training - Mandatory;
;Intercompany posting;Correction  -Due to AP mistakes;Intercompany posting;Answering business request;Intercompany posting;Correction  -Due to AP mistakes;Intercompany posting;Answering business request;Intercompany posting;Correction  -Due to AP mistakes;Intercompany posting;Intercompany posting;Correction  -Due to AP mistakes;Intercompany posting;Answering business request;Training - On the job/ Ad-hoc;Training - On the job/ Ad-hoc;
;Blocked invoice follow up;Correction  -Business Request;Blocked invoice follow up;Answering incoming phone calls;Blocked invoice follow up;Correction  -Business Request;Blocked invoice follow up;Answering incoming phone calls;Blocked invoice follow up;Correction  -Business Request;Blocked invoice follow up;Blocked invoice follow up;Correction  -Business Request;Blocked invoice follow up;Answering incoming phone calls;Huddles;Huddles;
;End user support (Invoice Processing);End user support (Query);End user support (Invoice Processing);Answering voicemails;End user support (Invoice Processing);End user support (Query);End user support (Invoice Processing);Answering voicemails;End user support (Invoice Processing);Document acceptance/rejection - IRS;End user support (Invoice Processing);End user support (Invoice Processing);End user support (Query);End user support (Invoice Processing);Answering voicemails;Payment proposal check;Execute on general runs;
;Consignement posting;Answering e-mails (suppliers);Consignement posting;Blocked invoice follow up;Consignement posting;Answering e-mails (suppliers);Consignement posting;Blocked invoice follow up;Consignement posting;End user support (Query);Consignement posting;Consignement posting;Answering e-mails (suppliers);Consignement posting;Blocked invoice follow up;Foreign payment handling for Chile;General run proposals + error code list reports;
;WF re-routing;Answering business request;WF re-routing;Dicom follow up - Chille;WF re-routing;Answering business request;WF re-routing;Dicom follow up - Chille;WF re-routing;Answering e-mails (suppliers);WF re-routing;WF re-routing;Answering business request;WF re-routing;Dicom follow up - Chille;Small company related payments;Exectue on Exception payments ;
;Manual duplicate check - Hungary;Answering incoming phone calls;Manual duplicate check - Hungary;Escalation handling;Manual duplicate check - Hungary;Answering incoming phone calls;Manual duplicate check - Hungary;Escalation handling;Manual duplicate check - Hungary;Answering business request;Manual duplicate check - Hungary;Manual duplicate check - Hungary;Answering incoming phone calls;Manual duplicate check - Hungary;Escalation handling;Factoring / Payment for Chile;Execute on Off cycle payments;
;Invoice clearing (F-44, Direct Debit, Advance Payment);Answering voicemails;Invoice clearing (F-44, Direct Debit, Advance Payment);Team meeting;Invoice clearing (F-44, Direct Debit, Advance Payment);Answering voicemails;Invoice clearing (F-44, Direct Debit, Advance Payment);Team meeting;Invoice clearing (F-44, Direct Debit, Advance Payment);Answering incoming phone calls;Invoice clearing (F-44, Direct Debit, Advance Payment);Invoice clearing (F-44, Direct Debit, Advance Payment);Answering voicemails;Invoice clearing (F-44, Direct Debit, Advance Payment);Team meeting;Libro de honorarios;T&E and AMEX payments ;
